2023-06-24 04:56:57 startup archives install
2023-06-24 04:56:57 install base-passwd:arm64 <none> 3.5.52build1
2023-06-24 04:56:57 status half-installed base-passwd:arm64 3.5.52build1
2023-06-24 04:56:57 status unpacked base-passwd:arm64 3.5.52build1
2023-06-24 04:56:57 configure base-passwd:arm64 3.5.52build1 3.5.52build1
2023-06-24 04:56:57 status half-configured base-passwd:arm64 3.5.52build1
2023-06-24 04:56:57 status installed base-passwd:arm64 3.5.52build1
2023-06-24 04:56:57 startup archives install
2023-06-24 04:56:57 install base-files:arm64 <none> 12ubuntu4
2023-06-24 04:56:57 status half-installed base-files:arm64 12ubuntu4
2023-06-24 04:56:57 status unpacked base-files:arm64 12ubuntu4
2023-06-24 04:56:57 configure base-files:arm64 12ubuntu4 12ubuntu4
2023-06-24 04:56:57 status half-configured base-files:arm64 12ubuntu4
2023-06-24 04:56:57 status installed base-files:arm64 12ubuntu4
2023-06-24 04:56:57 startup archives install
2023-06-24 04:56:57 upgrade dpkg 1.21.1ubuntu2 1.21.1ubuntu2
2023-06-24 04:56:57 status half-configured dpkg 1.21.1ubuntu2
2023-06-24 04:56:57 status unpacked dpkg 1.21.1ubuntu2
2023-06-24 04:56:57 status half-installed dpkg 1.21.1ubuntu2
2023-06-24 04:56:58 status unpacked dpkg:arm64 1.21.1ubuntu2
2023-06-24 04:56:58 configure dpkg:arm64 1.21.1ubuntu2 1.21.1ubuntu2
2023-06-24 04:56:58 status half-configured dpkg:arm64 1.21.1ubuntu2
2023-06-24 04:56:58 status installed dpkg:arm64 1.21.1ubuntu2
2023-06-24 04:56:58 startup archives install
2023-06-24 04:56:58 install libc6:arm64 <none> 2.35-0ubuntu3
2023-06-24 04:56:58 status half-installed libc6:arm64 2.35-0ubuntu3
2023-06-24 04:56:58 status unpacked libc6:arm64 2.35-0ubuntu3
2023-06-24 04:56:58 configure libc6:arm64 2.35-0ubuntu3 2.35-0ubuntu3
2023-06-24 04:56:58 status half-configured libc6:arm64 2.35-0ubuntu3
2023-06-24 04:56:58 status installed libc6:arm64 2.35-0ubuntu3
2023-06-24 04:56:58 startup archives install
2023-06-24 04:56:59 install perl-base:arm64 <none> 5.34.0-3ubuntu1
2023-06-24 04:56:59 status half-installed perl-base:arm64 5.34.0-3ubuntu1
2023-06-24 04:56:59 status unpacked perl-base:arm64 5.34.0-3ubuntu1
2023-06-24 04:56:59 configure perl-base:arm64 5.34.0-3ubuntu1 5.34.0-3ubuntu1
2023-06-24 04:56:59 status half-configured perl-base:arm64 5.34.0-3ubuntu1
2023-06-24 04:56:59 status installed perl-base:arm64 5.34.0-3ubuntu1
2023-06-24 04:56:59 startup archives install
2023-06-24 04:56:59 install mawk:arm64 <none> 1.3.4.20200120-3
2023-06-24 04:56:59 status half-installed mawk:arm64 1.3.4.20200120-3
2023-06-24 04:56:59 status unpacked mawk:arm64 1.3.4.20200120-3
2023-06-24 04:56:59 configure mawk:arm64 1.3.4.20200120-3 1.3.4.20200120-3
2023-06-24 04:56:59 status half-configured mawk:arm64 1.3.4.20200120-3
2023-06-24 04:56:59 status installed mawk:arm64 1.3.4.20200120-3
2023-06-24 04:56:59 startup archives unpack
2023-06-24 04:56:59 upgrade base-files:arm64 12ubuntu4 12ubuntu4
2023-06-24 04:56:59 status half-configured base-files:arm64 12ubuntu4
2023-06-24 04:56:59 status unpacked base-files:arm64 12ubuntu4
2023-06-24 04:56:59 status half-installed base-files:arm64 12ubuntu4
2023-06-24 04:56:59 status unpacked base-files:arm64 12ubuntu4
2023-06-24 04:56:59 upgrade base-passwd:arm64 3.5.52build1 3.5.52build1
2023-06-24 04:56:59 status half-configured base-passwd:arm64 3.5.52build1
2023-06-24 04:56:59 status unpacked base-passwd:arm64 3.5.52build1
2023-06-24 04:56:59 status half-installed base-passwd:arm64 3.5.52build1
2023-06-24 04:56:59 status unpacked base-passwd:arm64 3.5.52build1
2023-06-24 04:56:59 install bash:arm64 <none> 5.1-6ubuntu1
2023-06-24 04:56:59 status half-installed bash:arm64 5.1-6ubuntu1
2023-06-24 04:56:59 status unpacked bash:arm64 5.1-6ubuntu1
2023-06-24 04:56:59 install bsdutils:arm64 <none> 1:2.37.2-4ubuntu3
2023-06-24 04:56:59 status half-installed bsdutils:arm64 1:2.37.2-4ubuntu3
2023-06-24 04:56:59 status unpacked bsdutils:arm64 1:2.37.2-4ubuntu3
2023-06-24 04:56:59 install coreutils:arm64 <none> 8.32-4.1ubuntu1
2023-06-24 04:56:59 status half-installed coreutils:arm64 8.32-4.1ubuntu1
2023-06-24 04:56:59 status unpacked coreutils:arm64 8.32-4.1ubuntu1
2023-06-24 04:56:59 install dash:arm64 <none> 0.5.11+git20210903+057cd650a4ed-3build1
2023-06-24 04:56:59 status half-installed dash:arm64 0.5.11+git20210903+057cd650a4ed-3build1
2023-06-24 04:56:59 status unpacked dash:arm64 0.5.11+git20210903+057cd650a4ed-3build1
2023-06-24 04:56:59 install debconf:all <none> 1.5.79ubuntu1
